sent_id,doc_id,bank,year,section_title,sentence,ctx_prev,ctx_next,block_type,final_topic,llm_conf,label_source,gold_topic,annotator_note
viettinbank_2024_s1834_1,viettinbank_2024,viettinbank,2024,CȰ CHɼ ;ÁC ĐỊNH CHNH SÁCH 9ɾ TH /AO MɦC /ȲȰNG THȲɎNG 9{ CÁC .HOẢN /ɐI CH ĐʄI 9ɠI HĐQT %.S 9{ %ĐH,"Tiền thưởng đối với HĐQT, BĐH, BKS nằm trong quỹ thưởng của người quản lý VietinBank.","Mức thù lao của người quản lý thuộc đối tượng hưởng thù lao được xác định trên cơ sở chức trách, nhiệm vụ được giao, kết quả thực hiện nhiệm vụ và mức độ đóng góp vào hiệu quả kinh doanh của Ngân hàng.",,paragraph,G,0.9,llm,,
mbbank_2021_s1681_1,mbbank_2021,mbbank,2021,CÔNG TY THÀNH VIÊN,"| Quản lý quỹ đầu tư | 90,77% |
| Công ty Tài chính TNHH MB 
 Shinsei (*) | 27/GP-NHNN ngày 4 tháng 2 năm 
 2016 do Ngân hàng Nhà nước Việt 
 Nam cấp | Tài chính tiêu dùng | 50,00% |
| Tổng Công ty Cổ phần Bảo 
 hiểm Quân đội (“MIC”) | 43/GP/KDBH ngày 8 tháng 10 năm 
 2007 và Giấy phép điều chỉnh gần 
 nhất số 43/GPDC37/KDBH ngày 18 
 tháng 06 năm 2021 do Bộ Tài chính 
 cấp | Bảo hiểm phi nhân 
 thọ | 68,37% |
| Công ty TNHH Bảo hiểm Nhân 
 thọ MB Ageas | 74/GP/KDBH ngày 21 tháng 7 năm 
 2016 do Bộ Tài chính cấp | Bảo hiểm nhân 
 thọ, bảo hiểm sức 
 khỏe và đầu tư tà
 chính | 61,00% |","| Tên công ty | Giấy phép hoạt động | Lĩnh vực hoạt 
 động | % sở hữu |
|----------------|------------------------|---------------------|------------|
| Công ty TNHH Quản lý Nợ và 
 Khai thác tài sản Ngân hàng 
 Thương mại Cổ phần Quân đội 
 (“MB AMC”) | 0105281799 do Sở Kế hoạch và Đầu 
 tư Hà Nội cấp ngày 11 tháng 9 năm 
 2002, thay đổi lần thứ 20 ngày 25 
 tháng 12 năm 2018 | Quản lý nợ và khai 
 thác tài sản | 100% |
| Công ty Cổ phần Chứng khoán 
 MB (“MBS”) | 116/GP-UBCK ngày 9 tháng 12 năm 
 2013 do Ủy ban Chứng khoán Nhà 
 nước cấp | Chứng khoán | 79,42% |
| Công ty Cổ phần Quản lý Quỹ 
 Đầu tư MB (“MB Cap”) | 21/UBCK-GP ngày 15 tháng 11 năm 
 2007 và Giấy phép điều chỉnh gần 
 nhất số 06/GPĐC-UBCK ngày 12 
 tháng 2 năm 2015 do Ủy Ban Chứng 
 khoán Nhà nước cấp.",,table_like,Non_ESG,0.9,llm,,
vpbank_2023_s2012_0,vpbank_2023,vpbank,2023,Phòng chống tham nhũng và rửa tiền để bảo vệ lợi ích quốc gia,"VPBank thực hiện sàng lọc, phân loại mức độ rủi ro về môi trường xã hội, từ đó xác định các biện pháp quản lý rủi ro môi trường xã hội phù hợp với mức độ rủi ro đã nhận diện và từ chối cấp tín dụng cho các dự án thuộc Danh sách không cấp tín dụng liên quan đến các vấn đề môi trường xã hội hoặc các dự án gây ra tác động nghiêm trọng không thể khắc phục đối với môi trường xã hội.",,VPBank sẽ yêu cầu khách hàng xây dựng và cam kết thực hiện Kế hoạch hành động về môi trường xã hội nếu khách hàng chưa đáp ứng chính sách môi trường xã hội của VPBank và ghi nhận trong hợp đồng tín dụng hoặc thoả thuận hợp tác như là một điều kiện để duy trì vốn vay.,paragraph,E,0.9,llm_weak_agree,,
bidv_2023_s422_0,bidv_2023,bidv,2023,"CÁC MỤC TIÊU PHÁT TRIỂN BỀN VỮNG (MÔI TRƯỜNG, XÃ HỘI VÀ QUẢN TRỊ - ESG)","Triển khai thực hiện kế hoạch hành động thực hiện Chiến lược tài chính toàn diện quốc gia đến năm 2025, định hướng đến năm 2030 của NHNN, trong đó đẩy mạnh các hoạt động, giải pháp nhằm cung ứng sản phẩm dịch vụ đến mọi đối tượng trên toàn quốc, bao gồm cả vùng nông thôn, vùng sâu, vùng xa, người nghèo, người về hưu, học sinh, sinh viên.",,,paragraph,S_product,0.9,llm,,
techcombank_2023_s1895_0,techcombank_2023,techcombank,2023,4.5. Các khoản cho vay khách hàng,Khoản nợ được phân loại vào nhóm nợ có rủi ro cao hơn trong các trường hợp sau đây:,,,paragraph,G,0.8,llm,,
techcombank_2024_s385_0,techcombank_2024,techcombank,2024,3 Tăng cường trao đổi thông tin với nhà đầu tư,"Năm 2024, bộ phận IR của Techcombank đã tổ chức thành công 15 sự kiện dành cho nhà đầu tư bao gồm:",,,paragraph,Non_ESG,0.9,llm,,
shb_2021_s457_0,shb_2021,shb,2021,"Theo định hướng của Chính phủ và NHNN, ngân hàng đẩy mạnh cho vay doanh nghiệp nhỏ và vừa (SME) và cho vay Khách hàng cá nhân trên cơ sở phát huy thế mạnh về doanh nghiệp lớn.","Đến 31/12/2021, tổng dư nợ cấp tín dụng của SHB đạt 368.514 tỷ đồng, tăng 16,4% so với 2020.",,"Trong đó, dư nợ cho vay khách hàng đạt 362.416 tỷ đồng.",kpi_like,Non_ESG,0.9,llm,,
agribank_2024_s574_1,agribank_2024,agribank,2024,06.,"- Song song với các giải pháp dài hạn, Agribank cũng chỉ đạo triển khai nhiều giải pháp trọng yếu nhằm cải tiến chất lượng dịch vụ, nâng cao năng lực cạnh tranh của Agribank: (i) Ra mắt phiên bản mới của ứng dụng Agribank E-Mobile Banking với tên gọi Agribank Plus với những đột phá về cả giao diện và hệ sinh thái thanh toán tiện ích; (ii) Triển khai giải pháp Open Smartbank đến 100% chi nhánh và khách hàng; (iii) Kịp thời triển khai các giải pháp đáp ứng tuân thủ Quyết định 2345/QĐ-NHNN ngày 18/12/2023 của NHNN về việc thực hiện các giải pháp an toàn, bảo mật trong thanh toán trực tuyến và thanh toán thẻ ngân hàng; (iv) Thực hiện thu thập và xác thực sinh trắc học theo quy định, hướng dẫn của NHNN.","- Năm 2024, Agribank tiếp tục quyết liệt chỉ đạo triển khai song song các giải pháp trọng yếu và các giải pháp dài hạn thuộc Đề án chiến lược phát triển công nghệ thông tin giai đoạn 2022-2026, Kế hoạch chuyển đổi số Agribank đến năm 2025 để nâng cao năng lực hệ thống công nghệ thông tin, giảm thiểu tối đa tắc nghẽn hệ thống, đảm bảo chất lượng dịch vụ và trải nghiệm của khách hàng.",,bullet_like,S_product,0.9,llm_weak_agree,,
techcombank_2024_s1200_2,techcombank_2024,techcombank,2024,Quyền hạn và Trách nhiệm của HĐQT,"|
| Tuân thủ | ♦ Đề nghị Thống đốc Ngân hàng Nhà nước chấp thuận các vấn đề theo quy định của 
 pháp luật.","|
|---------------------------|---|
| Môi trường, Xã hội &
 Trách nhiệm Doanh nghiệp | ♦ Xem xét và thông qua báo cáo về việc triển khai Môi trường – Xã hội – Quản trị (ESG) 
 tại Techcombank.","♦ Thông báo kịp thời cho Ngân hàng Nhà nước thông tin ảnh hưởng tiêu cực đến tư các
 các thành viên Hội đồng quản trị, Ban Kiểm soát, Tổng giám đốc.",table_like,G,0.9,llm_weak_agree,,
vpbank_2020_s561_0,vpbank_2020,vpbank,2020,(IFC PERFORMANCE STANDARDS ON ENVIRONMENTAL AND SOCIAL SUSTAINABILITY),(IFC PERFORMANCE STANDARDS ON ENVIRONMENTAL AND SOCIAL SUSTAINABILITY),,,heading_like,E,0.9,llm,,
techcombank_2023_s2332_0,techcombank_2023,techcombank,2023,Thu nhập từ hoạt động dịch vụ,"| | Đơn vị: triệu đồng | Đơn vị: triệu đồn | Đơn vị: triệu đồng |
|--------------------------------------------|----------------------|---------------------|----------------------|
| Bên liên quan | Quan hệ | 31/12/2023 | 31/12/2022 |
| Công ty Cổ phần Tập đoàn Masan | (i) | 24.789 | 47.477 |
| Công ty TNHH Khai thác Chế biến Khoáng sản | (iii) | 32.543 | 30.815 |
| Núi Pháo | (iii) | 4.397 | 1.550 |",,,table_like,Non_ESG,0.95,llm,,
shb_2020_s324_0,shb_2020,shb,2020,Cơ hội,"Điều này cho thấy Nhà nước đang hết sức coi trọng và tích cực trong việc cải cách thể chế, tháo gỡ khó khăn cho doanh nghiệp, người dân nhằm giải phóng tối đa nguồn lực quốc gia.",,Khi các doanh nghiệp được nhà nước quan tâm phát triển và các doanh nghiệp nước ngoài yên tâm đầu tư vốn vào các ngành kinh doanh trong nước sẽ thúc đẩy ngành Ngân hàng phát triển.,paragraph,Non_ESG,0.9,llm,,
mbbank_2024_s2121_0,mbbank_2024,mbbank,2024,TỔNG SỐ CHƯƠNG TRÌNH/HOẠT ĐỘNG CSR NĂM 2024,TỔNG SỐ CHƯƠNG TRÌNH/HOẠT ĐỘNG CSR NĂM 2024,,,heading_like,S_community,0.9,llm_weak_agree,,
techcombank_2024_s2035_0,techcombank_2024,techcombank,2024,Quy định về chế độ phúc lợi – Đãi ngộ,Các chế độ phúc lợi tại Techcombank bao gồm:,,,paragraph,S_labor,0.9,llm_weak_agree,,
bsc_2021_s1841_0,bsc_2021,bsc,2021,QUẢN LÝ RỦI RO TÀI CHÍNH,Quản trị rủi ro tài chính được thực hiện bởi nhân sự tài chính.,,Nhân sự tài chính đo lường thực tế đầu tư với giới hạn đầu tư đã được đặt ra và chuẩn bị báo cáo định kỳ cho Ban Tổng Giám đốc xem xét.,paragraph,G,0.9,llm_weak_agree,,
viettinbank_2020_s2_0,viettinbank_2020,viettinbank,2020,DANH MỤC VIẾT TẮT,"| Viết tắt | Diễn giải |
|-------------|------------------------------------------|
| BCTC | Báo cáo tài chính |
| BĐH | Ban Điều hành |
| BKS | Ban Kiểm soát |
| CAR | Tỷ lệ an toàn vốn |
| CBNV | Cán bộ, nhân viên |
| CBTT | Công bố thông tin |
| CN | Chi nhánh |
| CNTT | Công nghệ thông tin |
| COVID-19 | Bệnh viêm (ường hô hấp cấp do chủng mớ
 của virus Corona |
| CSKH | Chăm sóc khách hàng |
| DNNVV/SM | Doanh nghiệp nhỏ và vừa |
| ĐHĐCĐ | Đại hội (ồng cổ (ông |
| ĐKKD | Đăng ký kinh doanh |
| ĐVSN | Đơn vị sự nghiệp |
| ĐVT | Đơn vị tính |
| FDI | Đầu tư trực tiếp nước ngoài |
| FII | Đầu tư gián tiếp nước ngoài |
| GDP | Tổng sản phẩm quốc nội |
| GPĐC | Giấy phép (iều chỉnh |
| HĐKD | Hoạt (ộng kinh doanh |
| HĐQT | Hội (ồng Quản trị |
| HĐTV | Hội (ồng Thành viên |
| HOSE | Sở giao dịch Chứng k
 Hồ Chí Minh |
| IPO | Phát hành cổ phiếu lần (ầu ra công chúng |
| KHB | Khách hàng bán |
| KHCN | Khách hàng cá nhân |
| KHDN | Khách hàng doanh nghiệp |
| KTKSNB | Kiểm tra Kiểm soát Nội bộ |
| KTNB | Kiểm toán Nội bộ |
| LNST | Lợi nhuận sau thuế |
| LNTT | Lợi nhuận trước thuế |
| LSCV | Lãi suất cho vay |
| MTBP | Kế hoạch Kinh doanh trung hạn |
| NĐT | Nhà (ầu tư |",,,table_like,Non_ESG,1.0,llm,,
bidv_2024_s1171_7,bidv_2024,bidv,2024,X,"| | Thể hiện tại Biên bản họp ĐHĐCĐ |
| A3 | Thị trường giao dịch thâu tóm công ty phải được phép hoạt động một cách hiệu quả và minh bạch.","| | Thể hiện tại tài liệu họp Đại hội đồng Cổ đông 
 bất thường 2024/thường niên 2024 được 
 công bố trên Website Ngân hàng và gửi cho 
 mỗi cổ đông đến tham dự cuộc họp |
| A.2.15 | Công ty có tạo cơ hội cho các cổ đông đề xuất/kiến nghị về nộ
 dung chương trình họp ĐHĐCĐ và/hoặc yêu cầu triệu tập đại hộ
 theo một tỷ lệ nhất định không?",| Thị trường giao dịch thâu tóm công ty phải được phép hoạt động một cách hiệu quả và minh bạch.,table_like,G,0.9,llm_weak_agree,,
bsc_2020_s1237_0,bsc_2020,bsc,2020,Cc khon đu t nm gi đn ngy đo hn HTM,"| | S cui nm
 VND | S đu nm
 VND |
|---------------------|---|---|
| Ngn hn | | |
| Tin gi c k hn | | |
| Tri phiu cha nim yt | | |
| Chng ch n gi | | |
| | | |",,,table_like,Non_ESG,0.9,llm,,
vpbank_2020_s285_0,vpbank_2020,vpbank,2020,ĐỒNG HÀNH ĐỂ CHIA SẺ,"Sự ra đời của chương trình ""Vì một Việt Nam thịnh vượng"" một lần nữa thể hiện trách nhiệm xã hội của VPBank với cộng đồng một cách lâu dài, đồng thời khẳng định sứ mệnh góp phần mang lại sự thịnh vượng toàn diện cho người Việt, bao gồm cả thịnh vượng về tài chính, thịnh vượng về thể chất, thịnh vượng về tinh thần và thịnh vượng cộng đồng.",,,paragraph,S_community,0.9,llm_weak_agree,,
shb_2022_s1198_8,shb_2022,shb,2022,7.3.5. TUÂN THỦ PHÁP LUẬT VỀ BẢO VỆ MÔI TRƯỜNG,"- } Chăm sóc, cắt tỉa cây cảnh trong các khu, phòng làm việc của tòa nhà đảm bảo tươi xanh để tránh bụi phát tán nhiều vào không khí.",Tần suất dọn dẹp khoảng 3 lần/ngày hoặc hơn tùy theo lượng khối lượng rác thải.,"- } Tại các tầng hầm và trước cửa khu nhà làm việc, SHB bố trí nhân viên bảo vệ nhắc nhở, yêu cầu các phương tiện giao thông đi vào tòa nhà tắt máy trước khi vào cổng tòa nhà để giảm khí thải và tiếng ồn.",bullet_like,E,0.9,llm_weak_agree,,
bidv_2022_s1447_3,bidv_2022,bidv,2022,HOẠT ĐỘNG QUẢN TRỊ CÔNG TY,"| | Công bố thông tin tại Website 
 Ngân hàng – mục “Về BIDV” |
| E.2.2 | Công ty có công bố về việc tất cả thành viên HĐQT, lãnh 
 đạo cấp cao và nhân viên phải tuân thủ bộ quy tắc?","| | Thể hiện tại Báo cáo kết quả 
 hoạt động của HĐQT tại Tài liệu 
 họp ĐHĐCĐ |
| E.2 | Cơ cấu HĐQT | | |
| | Bộ Quy tắc Đạo đức hoặc Ứng xử | | |
| E.2.1 | Chi tiết của Bộ Quy tắc Đạo đức hoặc Ứng xử có 
 được công bố công khai?","| | Công bố thông tin tại Website 
 Ngân hàng – mục “Về BIDV” |
| E.2.3 | Công ty có công bố cách thực hiện và giám sát việc 
 tuân thủ Bộ Quy tắc Đạo đức hoặc Ứng xử?",table_like,G,0.9,llm_weak_agree,,
techcombank_2021_s2332_0,techcombank_2021,techcombank,2021,4.29 Báo cáo bộ phận,"Một bộ phận là một hợp phần có thể xác định riêng biệt của Ngân hàng tham gia vào việc cung cấp các sản phẩm hoặc dịch vụ liên quan (bộ phận được lập theo lĩnh vực kinh doanh), hoặc cung cấp sản phẩm hoặc dịch vụ trong một môi trường kinh tế cụ thể (bộ phận được lập theo khu vực địa lý).",,Mỗi bộ phận này chịu rủi ro và thu được lợi ích khác biệt với các bộ phận khác.,paragraph,G,0.8,llm,,
mbbank_2023_s1200_2,mbbank_2023,mbbank,2023,XÃ HỘI (S),"- Ra mắt thẻ HiGreen và kết nối với các đối tác theo tiêu chí có sứ mệnh, chiến lược bền vững, hoạt động tuân thủ tiêu chí ESG.",- Duy trì đóng góp cho hoạt động trách nhiệm xã hội.,,bullet_like,E,0.9,llm,,
viettinbank_2023_s2233_0,viettinbank_2023,viettinbank,2023,Sẻ chia giá trị bền vững cùng cộng đồng,"Bên cạnh việc chú trọng vào hoạt động phát triển kinh doanh, VietinBank hiểu rằng thành công chỉ có ý nghĩa khi thành công đó được chia sẻ cùng cộng đồng và xã hội.",,"Do đó, từ nhiều năm nay, các hoạt động PTBV luôn là trọng tâm mà VietinBank luôn duy trì và thúc đẩy nhằm lan tỏa giá trị tới khách hàng, đối tác, người lao động và toàn xã hội.",paragraph,S_community,0.9,llm_weak_agree,,
viettinbank_2021_s486_0,viettinbank_2021,viettinbank,2021,TRONG NĂM 2022,"Nhằm hướng đến mục tiêu PTBV, VietinBank đã ban hành và áp dụng các chính sách đánh giá tác động MT - XH trong hoạt động thẩm định, quyết định cấp tín dụng cho các dự án đầu tư.",,"Trước khi cấp tín dụng, các dự án được rà soát việc đáp ứng các yêu cầu về MT - XH theo quy định của pháp luật và các quy định nội bộ của VietinBank.",paragraph,E,0.9,llm,,
viettinbank_2024_s2041_18,viettinbank_2024,viettinbank,2024,7 - ĐÁNH GIÁ CÔNG TÁC QUẢN TRỊ CÔNG TY THEO THẺ ĐIỂM QUẢN TRỊ CÔNG TY ASEAN,"|
| (P)D.2.2 | Công ty đã không xác định rõ ai là TV độc 
 lập HĐQT, TV HĐQT không điều hành và TV 
 HĐQT điều hành?","(Nhiệm kỳ 5 năm phải được yêu cầu theo 
 luật đã có trước khi đưa ra Thẻ điểm Quản trị 
 Công ty ASEAN năm 2011) | v | VietinBank không phát sinh trường 
 hợp này.","| v | VietinBank không phát sinh trường 
 hợp này.",table_like,G,0.9,llm,,
agribank_2022_s744_2,agribank_2022,agribank,2022,5. Công tác đào tạo,"giúp người lao động được kịp thời cập nhật kiến thức, văn bản mới phục vụ cho công việc.","Các đơn vị trong hệ thống đã chủ động tổ chức các chương trình, hội nghị tập huấn, triển khai văn bản cho người lao động bằng các hình thức phù hợp như hội nghị trực tuyến/trực tiếp, kiểm tra nghiệp vụ trực tuyến, cử tham dự các khóa học bên ngoài Agribank ...",,paragraph,S_labor,0.9,llm_weak_agree,,
